variant,record_type,component,entry_date,exit_date,entry_price,exit_price,return_pct,max_drawdown_pct,accumulated,buy_trigger,sell_reason,entry_signal_date,signal_date,tqqq_boosted,extension_decision_date,extended_to_80,rotation_signal_date,rotation_date,trajectory_lookback,decision_ndx_above_ma200,decision_breadth,decision_past_breadth,decision_breadth_change,natural_extension_gate,component_return_pct,allocation_at_entry,portfolio_contribution_pct,cluster,component_events
20_sessions,component_trade,ma200,2008-08-11,2008-08-20,1921.76,1921.75,-0.14827273223189108,-0.803622780203217,4175.54698003284,NDX-above-MA200,NDX-below-MA200,2008-08-08,2008-08-19,,,,,,,,,,,,,,,,
20_sessions,component_trade,ma200,2008-08-25,2008-08-27,1918.45,1887.08,-1.7809726607201148,-1.796589943498439,4101.181629882931,NDX-above-MA200,NDX-below-MA200,2008-08-22,2008-08-26,,,,,,,,,,,,,,,,
20_sessions,component_trade,ma200,2008-08-29,2008-09-03,1895.78,1847.54,-2.6901279816624935,-2.5287685352585187,3990.854595278648,NDX-above-MA200,NDX-below-MA200,2008-08-28,2008-09-02,,,,,,,,,,,,,,,,
20_sessions,component_trade,ma200,2009-05-01,2009-05-14,1396.22,1348.33,-3.5757279176648726,-4.15869633352397,3848.152493361858,NDX-above-MA200,NDX-below-MA200,2009-04-30,2009-05-13,,,,,,,,,,,,,,,,
20_sessions,component_trade,ma200,2009-05-19,2010-05-21,1387.2,1772.34,27.57698618261193,-1.8559958774702179,4909.356974742094,NDX-above-MA200,NDX-below-MA200,2009-05-18,2010-05-20,,,,,,,,,,,,,,,,
20_sessions,component_trade,ma200,2010-05-25,2010-05-27,1769.32,1837.65,3.7166215928623236,1.412342921074683,5091.819196136052,NDX-above-MA200,NDX-below-MA200,2010-05-24,2010-05-26,,,,,,,,,,,,,,,,
20_sessions,component_trade,ma200,2010-06-01,2010-06-08,1846.6,1799.26,-2.699774217523443,-2.73963258240173,4954.351574275861,NDX-above-MA200,NDX-below-MA200,2010-05-28,2010-06-07,,,,,,,,,,,,,,,,
20_sessions,component_trade,ma200,2010-06-11,2010-06-29,1814.25,1805.55,-0.6192594100502546,1.0772883908176212,4923.6712859451845,NDX-above-MA200,NDX-below-MA200,2010-06-10,2010-06-28,,,,,,,,,,,,,,,,
20_sessions,component_trade,ma200,2010-07-14,2010-07-19,1847.92,1807.99,-2.298759497778047,-2.5222141791392927,4810.487924620149,NDX-above-MA200,NDX-below-MA200,2010-07-13,2010-07-16,,,,,,,,,,,,,,,,
20_sessions,component_trade,ma200,2010-07-23,2010-08-12,1851.81,1808.63,-2.470462919903038,-0.46752584329099456,4691.646604175995,NDX-above-MA200,NDX-below-MA200,2010-07-22,2010-08-11,,,,,,,,,,,,,,,,
20_sessions,component_trade,ma200,2010-09-07,2011-06-16,1862.88,2209.75,18.454960343353456,-0.463308425611908,5557.488124426964,NDX-above-MA200,NDX-below-MA200,2010-09-03,2011-06-15,,,,,,,,,,,,,,,,
20_sessions,component_trade,ma200,2011-06-22,2011-06-27,2243.21,2217.63,-1.274904930191889,-1.28229123969118,5486.635434333815,NDX-above-MA200,NDX-below-MA200,2011-06-21,2011-06-24,,,,,,,,,,,,,,,,
20_sessions,component_trade,ma200,2011-06-29,2011-08-05,2290.5,2227.49,-2.8840613265408543,-3.7506213264164145,5328.397503643907,NDX-above-MA200,NDX-below-MA200,2011-06-28,2011-08-04,,,,,,,,,,,,,,,,
20_sessions,component_trade,ma200,2011-09-19,2011-09-22,2277.64,2196.63,-3.6899959138990246,-0.9668152687744569,5131.779853483149,NDX-above-MA200,NDX-below-MA200,2011-09-16,2011-09-21,,,,,,,,,,,,,,,,
20_sessions,component_trade,ma200,2011-10-12,2011-11-18,2316.76,2273.64,-1.9979007486779832,-2.045238217055534,5029.251985369903,NDX-above-MA200,NDX-below-MA200,2011-10-11,2011-11-17,,,,,,,,,,,,,,,,
20_sessions,component_trade,ma200,2011-12-01,2011-12-09,2294.27,2287.27,-0.4444398778297609,-0.6282982544474347,5006.8999839903745,NDX-above-MA200,NDX-below-MA200,2011-11-30,2011-12-08,,,,,,,,,,,,,,,,
20_sessions,component_trade,ma200,2011-12-13,2011-12-15,2308.29,2253.14,-2.5262247375372637,-3.3764153901727267,4880.41443801106,NDX-above-MA200,NDX-below-MA200,2011-12-12,2011-12-14,,,,,,,,,,,,,,,,
20_sessions,component_trade,ma200,2011-12-27,2011-12-29,2284.29,2272.56,-0.6537987871035433,-0.8729193253053658,4848.5063476097175,NDX-above-MA200,NDX-below-MA200,2011-12-23,2011-12-28,,,,,,,,,,,,,,,,
20_sessions,component_trade,ma200,2012-01-04,2012-11-01,2316.53,2661.05,14.713135901635432,0.4477142094608366,5561.873675732956,NDX-above-MA200,NDX-below-MA200,2012-01-03,2012-10-31,,,,,,,,,,,,,,,,
20_sessions,component_trade,ma200,2012-11-06,2012-11-08,2676.15,2620.25,-2.2222498244465094,-2.486432552884277,5438.274947738044,NDX-above-MA200,NDX-below-MA200,2012-11-05,2012-11-07,,,,,,,,,,,,,,,,
20_sessions,component_trade,ma200,2012-11-30,2012-12-05,2680.55,2660.68,-0.8770967344434388,-0.5900521501382205,5390.576015761378,NDX-above-MA200,NDX-below-MA200,2012-11-29,2012-12-04,,,,,,,,,,,,,,,,
20_sessions,component_trade,ma200,2012-12-12,2012-12-14,2694.4,2635.91,-2.3052599494857606,-1.6157413198670478,5266.309225823446,NDX-above-MA200,NDX-below-MA200,2012-12-11,2012-12-13,,,,,,,,,,,,,,,,
20_sessions,component_trade,ma200,2012-12-19,2012-12-24,2709.61,2658.65,-2.0163852290994932,-1.7754886105293965,5160.120144475238,NDX-above-MA200,NDX-below-MA200,2012-12-18,2012-12-21,,,,,,,,,,,,,,,,
20_sessions,component_trade,ma200,2013-01-03,2014-10-17,2742.13,3815.72,38.96628002422744,-1.6185421052555937,7170.827009558028,NDX-above-MA200,NDX-below-MA200,2013-01-02,2014-10-16,,,,,,,,,,,,,,,,
20_sessions,component_trade,ma200,2014-10-21,2015-08-24,3916.65,3847.12,-1.9010467977238044,0.7261856044223913,7034.506232322512,NDX-above-MA200,NDX-below-MA200,2014-10-20,2015-08-21,,,,,,,,,,,,,,,,
20_sessions,component_trade,ma200,2015-10-16,2016-01-07,4419.94,4349.14,-1.7283702790052868,-0.2592364898514554,6912.923917328275,NDX-above-MA200,NDX-below-MA200,2015-10-15,2016-01-06,,,,,,,,,,,,,,,,
20_sessions,component_trade,ma200,2016-03-22,2016-03-24,4403.47,4380.23,-0.6560287172522106,-0.13504310453796853,6867.573151228805,NDX-above-MA200,NDX-below-MA200,2016-03-21,2016-03-23,,,,,,,,,,,,,,,,
20_sessions,component_trade,ma200,2016-03-30,2016-04-28,4494.7,4419.11,-1.8088907984898595,-1.84922030593343,6743.346252416667,NDX-above-MA200,NDX-below-MA200,2016-03-29,2016-04-27,,,,,,,,,,,,,,,,
20_sessions,component_trade,ma200,2016-05-25,2016-06-16,4459.26,4387.9,-1.7280230445536948,-1.2291402181060729,6626.819675200859,NDX-above-MA200,NDX-below-MA200,2016-05-24,2016-06-15,,,,,,,,,,,,,,,,
20_sessions,component_trade,ma200,2016-06-22,2016-06-27,4413.4,4247.71,-3.8800454278431262,-3.0051577537368868,6369.696061381819,NDX-above-MA200,NDX-below-MA200,2016-06-21,2016-06-24,,,,,,,,,,,,,,,,
20_sessions,component_trade,ma200,2016-07-01,2016-07-06,4411.77,4388.43,-0.6597606234304276,-0.1387269074870856,6327.671314936623,NDX-above-MA200,NDX-below-MA200,2016-06-30,2016-07-05,,,,,,,,,,,,,,,,
20_sessions,component_trade,ma200,2016-07-08,2018-10-12,4484.92,7150.21,59.22749398182094,0.8517203057466283,10075.392462180122,NDX-above-MA200,NDX-below-MA200,2016-07-07,2018-10-11,,,,,,,,,,,,,,,,
20_sessions,component_trade,ma200,2018-10-16,2018-10-25,7141.67,6891.27,-3.6221210983720886,-5.040542596017095,9710.449546063704,NDX-above-MA200,NDX-below-MA200,2018-10-15,2018-10-24,,,,,,,,,,,,,,,,
20_sessions,component_trade,ma200,2018-11-02,2018-11-06,7042.3,6939.13,-1.583925441465539,-1.602563132372481,9556.643265222927,NDX-above-MA200,NDX-below-MA200,2018-11-01,2018-11-05,,,,,,,,,,,,,,,,
20_sessions,component_trade,ma200,2018-11-08,2018-11-12,7176.19,6990.37,-2.7074049558009405,-2.0179436075298485,9297.906231852065,NDX-above-MA200,NDX-below-MA200,2018-11-07,2018-11-09,,,,,,,,,,,,,,,,
20_sessions,component_trade,ma200,2019-02-19,2019-02-22,7033.37,7055.2,0.18858446401210927,-0.08527245233889147,9315.440638483751,NDX-above-MA200,NDX-below-MA200,2019-02-15,2019-02-21,,,,,,,,,,,,,,,,
20_sessions,component_trade,ma200,2019-02-26,2019-03-08,7098.97,6940.9,-2.345605738385359,-1.1250496968716162,9096.937128311594,NDX-above-MA200,NDX-below-MA200,2019-02-25,2019-03-07,,,,,,,,,,,,,,,,
20_sessions,component_trade,ma200,2019-03-12,2019-06-03,7176.23,7110.34,-1.0390760429495938,-0.7828228843429264,9002.413033969122,NDX-above-MA200,NDX-below-MA200,2019-03-11,2019-05-31,,,,,,,,,,,,,,,,
20_sessions,component_trade,ma200,2019-06-05,2020-03-10,7230.81,8213.97,13.459562901163746,-0.24794728133310517,10214.098478898759,NDX-above-MA200,NDX-below-MA200,2019-06-04,2020-03-09,,,,,,,,,,,,,,,,
20_sessions,component_trade,ma200,2020-04-09,2022-01-21,8284.31,14728.66,77.58494168590973,-0.6617351447307795,18138.700827493754,NDX-above-MA200,NDX-below-MA200,2020-04-08,2022-01-20,,,,,,,,,,,,,,,,
20_sessions,component_trade,ma200,2022-02-03,2022-02-07,14693.85,14716.43,0.042537013503873844,-1.4157795331841472,18146.416489114174,NDX-above-MA200,NDX-below-MA200,2022-02-02,2022-02-04,,,,,,,,,,,,,,,,
20_sessions,component_trade,ma200,2022-02-10,2022-02-14,14770.67,14233.4,-3.74454130275228,-3.600794156033371,17466.916428709843,NDX-above-MA200,NDX-below-MA200,2022-02-09,2022-02-11,,,,,,,,,,,,,,,,
20_sessions,component_trade,ma200,2022-03-30,2022-04-01,15177.15,14886.91,-2.02172225085796,-2.334692251774806,17113.78389273185,NDX-above-MA200,NDX-below-MA200,2022-03-29,2022-03-31,,,,,,,,,,,,,,,,
20_sessions,component_trade,ma200,2022-04-05,2022-04-07,15109.27,14469.5,-4.341439283587112,-4.14128546771888,16370.799355904588,NDX-above-MA200,NDX-below-MA200,2022-04-04,2022-04-06,,,,,,,,,,,,,,,,
20_sessions,component_trade,ma200,2023-01-27,2023-01-31,12000.21,11915.95,-0.813570521727558,-0.8370967703745791,16237.611358173783,NDX-above-MA200,NDX-below-MA200,2023-01-26,2023-01-30,,,,,,,,,,,,,,,,
20_sessions,component_trade,ma200,2023-02-02,2023-03-13,12655.18,11752.1,-7.240739648957062,-6.61746583048235,15061.888194518939,NDX-above-MA200,NDX-below-MA200,2023-02-01,2023-03-10,,,,,,,,,,,,,,,,
20_sessions,component_trade,ma200,2023-03-15,2025-03-07,12083.24,20015.62,65.46459873202184,1.2829523944676735,24922.09286252653,NDX-above-MA200,NDX-below-MA200,2023-03-14,2025-03-06,,,,,,,,,,,,,,,,
20_sessions,component_trade,ma200,2025-05-13,2026-03-23,20906.92,24270.77,15.964951202912637,-0.06224541871748812,28900.892826773463,NDX-above-MA200,NDX-below-MA200,2025-05-12,2026-03-20,,,,,,,,,,,,,,,,
20_sessions,component_exit,breadth,2002-07-24,2002-08-15,,,,,,,climax-top,,2002-08-14,,,,,,,,,,,,13.556625129729639,0.7,9.489637590810746,,
20_sessions,component_exit,breadth,2002-10-10,2002-11-12,,,,,,,climax-top,,2002-11-11,,,,,,,,,,,,27.820066129362896,0.7260014677177282,20.19740884192172,,
20_sessions,component_exit,breadth,2003-01-10,2003-03-18,,,,,,,climax-top,,2003-03-17,,,,,,,,,,,,1.335572366726323,0.7720428959973484,1.0311191578214232,,
20_sessions,component_exit,breadth,2004-03-25,2004-06-14,,,,,,,bearish-divergence,,2004-06-10,,,,,,,,,,,,5.355904007377776,0.7285894632652825,3.90225522603575,,
20_sessions,component_exit,breadth,2005-03-31,2007-07-27,,,,,,,bearish-divergence,,2007-07-26,,,,,,,,,,,,33.375072113790225,0.7531105401181786,25.135118586099715,,
20_sessions,component_exit,breadth,2008-01-23,2008-09-30,,,,,,,trailing-stop,,2008-09-29,,,,,,,,,,,,-9.155034181050947,0.7682716797726606,-7.033553488652136,,
20_sessions,component_exit,breadth,2008-10-17,2008-11-05,,,,,,,climax-top,,2008-11-04,,,,,,,,,,,,5.885518283779412,0.7670825127273541,4.5146781538242955,,
20_sessions,component_exit,breadth,2008-11-24,2009-01-14,,,,,,,climax-top,,2009-01-13,,,,,,,,,,,,7.537977096567294,0.7771437549376184,5.858091825460074,,
20_sessions,component_exit,breadth,2009-02-02,2009-02-18,,,,,,,climax-top,,2009-02-17,,,,,,,,,,,,2.459625973666646,0.7894764195921561,1.9418167072262145,,
20_sessions,component_exit,breadth,2009-03-09,2011-09-19,,,,,,,bearish-divergence,,2011-09-16,,,,,,,,,,,,138.99831819094936,0.7934865326047101,110.29329353922262,,
20_sessions,component_exit,breadth,2011-10-06,2014-08-08,,,,,,,bearish-divergence,,2014-08-07,,,,,,,,,,,,79.02831547997084,0.8771711400882417,69.32135758881927,,
20_sessions,component_exit,breadth,2015-08-25,2018-03-23,,,,,,,bearish-divergence,,2018-03-22,,,,,,,,,,,,63.31879135408336,0.903166066377536,57.18738371504741,,
20_sessions,component_exit,breadth,2018-10-15,2020-02-26,,,,,,,bearish-divergence,,2020-02-25,,,,,,,,,,,,24.471822376286244,0.9140542997735608,22.36857446633928,,
20_sessions,component_exit,breadth,2020-03-16,2021-12-01,,,,,,,bearish-divergence,,2021-11-30,,,,,,,,,,,,148.453086355936,0.9288667584490286,137.89313710519198,,
20_sessions,component_exit,breadth,2022-06-14,2022-11-14,,,,,,,climax-top,,2022-11-11,,,,,,,,,,,,4.534060263497253,0.9529236551185901,4.32061327881976,,
20_sessions,component_exit,breadth,2023-01-27,2023-05-02,,,,,,,bearish-divergence,,2023-05-01,,,,,,,,,,,,10.099642806548559,0.9548734009494481,9.643880275063651,,
20_sessions,component_exit,breadth,2023-10-30,2024-12-19,,,,,,,bearish-divergence,,2024-12-18,,,,,,,,,,,,58.61383760417298,0.9557515554409376,56.02026646055084,,
20_sessions,component_exit,ma200,2003-01-10,2003-01-21,,,,,,,NDX-below-MA200,,2003-01-17,,,,,,,,,,,,-3.6454205878775015,0.22795710400265157,-0.8309995200841989,,
20_sessions,component_exit,ma200,2003-03-14,2004-03-24,,,,,,,NDX-below-MA200,,2004-03-23,,,,,,,,,,,,32.68495532303346,0.2266828135169728,7.409117632301783,,
20_sessions,component_exit,ma200,2004-03-26,2004-05-03,,,,,,,NDX-below-MA200,,2004-04-30,,,,,,,,,,,,-0.9501274726991804,0.2672078874537072,-0.2538815547916779,,
20_sessions,component_exit,ma200,2004-05-05,2004-05-10,,,,,,,NDX-below-MA200,,2004-05-07,,,,,,,,,,,,-2.2205519260654727,0.2658564006120684,-0.5903479424359623,,
20_sessions,component_exit,ma200,2004-05-12,2004-05-18,,,,,,,NDX-below-MA200,,2004-05-14,,,,,,,,,,,,-1.374868135177576,0.2615265397739417,-0.35956450603844337,,
20_sessions,component_exit,ma200,2004-05-26,2004-07-09,,,,,,,NDX-below-MA200,,2004-07-08,,,,,,,,,,,,-0.20295828509936387,0.2554227870269923,-0.0518401708302984,,
20_sessions,component_exit,ma200,2004-10-04,2004-10-11,,,,,,,NDX-below-MA200,,2004-10-08,,,,,,,,,,,,-2.0439358826211063,0.25208367412186816,-0.5152428669606519,,
20_sessions,component_exit,ma200,2004-10-19,2004-10-25,,,,,,,NDX-below-MA200,,2004-10-22,,,,,,,,,,,,-2.0214444351468797,0.2482101304444504,-0.5017429869340153,,
20_sessions,component_exit,ma200,2004-10-27,2005-03-23,,,,,,,NDX-below-MA200,,2005-03-22,,,,,,,,,,,,1.342066897287686,0.2444190560475592,0.32802672418773277,,
20_sessions,component_exit,ma200,2005-03-31,2005-04-04,,,,,,,NDX-below-MA200,,2005-04-01,,,,,,,,,,,,-1.4985715574630465,0.24688945988182137,-0.3699815224163114,,
20_sessions,component_exit,ma200,2005-04-06,2005-04-12,,,,,,,NDX-below-MA200,,2005-04-11,,,,,,,,,,,,-0.8379836344460267,0.2450016326807359,-0.20530735859901353,,
20_sessions,component_exit,ma200,2005-05-18,2005-06-27,,,,,,,NDX-below-MA200,,2005-06-24,,,,,,,,,,,,0.1274578123471093,0.24265774731635126,0.03092862562201976,,
20_sessions,component_exit,ma200,2005-07-11,2005-10-13,,,,,,,NDX-below-MA200,,2005-10-12,,,,,,,,,,,,-1.2683005834433936,0.237683451824319,-0.3014540606236235,,
20_sessions,component_exit,ma200,2005-10-17,2006-05-15,,,,,,,NDX-below-MA200,,2006-05-12,,,,,,,,,,,,5.316509401473257,0.23409200981592032,1.2445523709961104,,
20_sessions,component_exit,ma200,2006-09-18,2006-09-20,,,,,,,NDX-below-MA200,,2006-09-19,,,,,,,,,,,,0.12269289182063048,0.23342720929997243,0.028639859338633188,,
20_sessions,component_exit,ma200,2006-09-22,2008-01-07,,,,,,,NDX-below-MA200,,2008-01-04,,,,,,,,,,,,20.522595103827367,0.23338045838966182,4.78957265267666,,
20_sessions,component_exit,ma200,2008-05-02,2008-05-08,,,,,,,NDX-below-MA200,,2008-05-07,,,,,,,,,,,,-1.9268577918750807,0.205242707670058,-0.3954735104995907,,
20_sessions,component_exit,ma200,2008-05-12,2008-05-22,,,,,,,NDX-below-MA200,,2008-05-21,,,,,,,,,,,,-0.4985975131947873,0.20374122028908778,-0.10158486577141052,,
20_sessions,component_exit,ma200,2008-05-27,2008-06-12,,,,,,,NDX-below-MA200,,2008-06-11,,,,,,,,,,,,-1.3321961812112315,0.2030413216294027,-0.2704908733027717,,
20_sessions,component_exit,ma200,2008-06-16,2008-06-19,,,,,,,NDX-below-MA200,,2008-06-18,,,,,,,,,,,,-0.47464744885405974,0.20030371838075028,-0.09507364892540515,,
20_sessions,component_exit,ma200,2008-08-11,2008-08-20,,,,,,,NDX-below-MA200,,2008-08-19,,,,,,,,,,,,-0.14827273223189108,0.20282776444781733,-0.030073826807164295,,
20_sessions,component_exit,ma200,2008-08-25,2008-08-27,,,,,,,NDX-below-MA200,,2008-08-26,,,,,,,,,,,,-1.7809726607201148,0.20214944315426947,-0.3600226316375489,,
20_sessions,component_exit,ma200,2008-08-29,2008-09-03,,,,,,,NDX-below-MA200,,2008-09-02,,,,,,,,,,,,-2.6901279816624935,0.20062651891233566,-0.5397110123896136,,
20_sessions,component_exit,ma200,2009-05-01,2009-05-14,,,,,,,NDX-below-MA200,,2009-05-13,,,,,,,,,,,,-3.5757279176648726,0.15375133259029986,-0.5497729323213122,,
20_sessions,component_exit,ma200,2009-05-19,2010-05-21,,,,,,,NDX-below-MA200,,2010-05-20,,,,,,,,,,,,27.57698618261193,0.14956559941386657,4.12456846843027,,
20_sessions,component_exit,ma200,2010-05-25,2010-05-27,,,,,,,NDX-below-MA200,,2010-05-26,,,,,,,,,,,,3.7166215928623236,0.14389035361421512,0.5347859952471872,,
20_sessions,component_exit,ma200,2010-06-01,2010-06-08,,,,,,,NDX-below-MA200,,2010-06-07,,,,,,,,,,,,-2.699774217523443,0.14590438327026642,-0.39390889217672403,,
20_sessions,component_exit,ma200,2010-06-11,2010-06-29,,,,,,,NDX-below-MA200,,2010-06-28,,,,,,,,,,,,-0.6192594100502546,0.14401332518225232,-0.08918160679173705,,
20_sessions,component_exit,ma200,2010-07-14,2010-07-19,,,,,,,NDX-below-MA200,,2010-07-16,,,,,,,,,,,,-2.298759497778047,0.14225431834703745,-0.3270084654001942,,
20_sessions,component_exit,ma200,2010-07-23,2010-08-12,,,,,,,NDX-below-MA200,,2010-08-11,,,,,,,,,,,,-2.470462919903038,0.13827480478228005,-0.34160277797145416,,
20_sessions,component_exit,ma200,2010-09-07,2011-06-16,,,,,,,NDX-below-MA200,,2011-06-15,,,,,,,,,,,,18.454960343353456,0.1348697341422548,2.489015595113936,,
20_sessions,component_exit,ma200,2011-06-22,2011-06-27,,,,,,,NDX-below-MA200,,2011-06-24,,,,,,,,,,,,-1.274904930191889,0.1329823782567198,-0.16953988966813474,,
20_sessions,component_exit,ma200,2011-06-29,2011-08-05,,,,,,,NDX-below-MA200,,2011-08-04,,,,,,,,,,,,-2.8840613265408543,0.12981120003180252,-0.37438346176358056,,
20_sessions,component_exit,ma200,2011-09-19,2011-09-22,,,,,,,NDX-below-MA200,,2011-09-21,,,,,,,,,,,,-3.6899959138990246,0.1255651503959548,-0.46333489188918975,,
20_sessions,component_exit,ma200,2011-10-12,2011-11-18,,,,,,,NDX-below-MA200,,2011-11-17,,,,,,,,,,,,-1.9979007486779832,0.11606665619744123,-0.23188965931341793,,
20_sessions,component_exit,ma200,2011-12-01,2011-12-09,,,,,,,NDX-below-MA200,,2011-12-08,,,,,,,,,,,,-0.4444398778297609,0.11449273608127135,-0.0508851376363553,,
20_sessions,component_exit,ma200,2011-12-13,2011-12-15,,,,,,,NDX-below-MA200,,2011-12-14,,,,,,,,,,,,-2.5262247375372637,0.11417669283610223,-0.2884359858927551,,
20_sessions,component_exit,ma200,2011-12-27,2011-12-29,,,,,,,NDX-below-MA200,,2011-12-28,,,,,,,,,,,,-0.6537987871035433,0.11198438665966744,-0.07321525617262478,,
20_sessions,component_exit,ma200,2012-01-04,2012-11-01,,,,,,,NDX-below-MA200,,2012-10-31,,,,,,,,,,,,14.713135901635432,0.10950898056244888,1.6112205134648634,,
20_sessions,component_exit,ma200,2012-11-06,2012-11-08,,,,,,,NDX-below-MA200,,2012-11-07,,,,,,,,,,,,-2.2222498244465094,0.10916893996613879,-0.24260065767476344,,
20_sessions,component_exit,ma200,2012-11-30,2012-12-05,,,,,,,NDX-below-MA200,,2012-12-04,,,,,,,,,,,,-0.8770967344434388,0.10674859569215361,-0.09362884468801087,,
20_sessions,component_exit,ma200,2012-12-12,2012-12-14,,,,,,,NDX-below-MA200,,2012-12-13,,,,,,,,,,,,-2.3052599494857606,0.1058394400771088,-0.243987422285757,,
20_sessions,component_exit,ma200,2012-12-19,2012-12-24,,,,,,,NDX-below-MA200,,2012-12-21,,,,,,,,,,,,-2.0163852290994932,0.1028508921096966,-0.20738701964969783,,
20_sessions,component_exit,ma200,2013-01-03,2014-10-17,,,,,,,NDX-below-MA200,,2014-10-16,,,,,,,,,,,,38.96628002422744,0.09962644681162264,3.8820720242804883,,
20_sessions,component_exit,ma200,2014-10-21,2015-08-24,,,,,,,NDX-below-MA200,,2015-08-21,,,,,,,,,,,,-1.9010467977238044,0.09852557935390925,-0.18730173712463175,,
20_sessions,component_exit,ma200,2015-10-16,2016-01-07,,,,,,,NDX-below-MA200,,2016-01-06,,,,,,,,,,,,-1.7283702790052868,0.09124888480849991,-0.15771186049538827,,
20_sessions,component_exit,ma200,2016-03-22,2016-03-24,,,,,,,NDX-below-MA200,,2016-03-23,,,,,,,,,,,,-0.6560287172522106,0.08874875946283198,-0.05822173482812665,,
20_sessions,component_exit,ma200,2016-03-30,2016-04-28,,,,,,,NDX-below-MA200,,2016-04-27,,,,,,,,,,,,-1.8088907984898595,0.0874838427286944,-0.1582487181284693,,
20_sessions,component_exit,ma200,2016-05-25,2016-06-16,,,,,,,NDX-below-MA200,,2016-06-15,,,,,,,,,,,,-1.7280230445536948,0.08645170190578683,-0.1493905331340862,,
20_sessions,component_exit,ma200,2016-06-22,2016-06-27,,,,,,,NDX-below-MA200,,2016-06-24,,,,,,,,,,,,-3.8800454278431262,0.08562960848900729,-0.3322467709057697,,
20_sessions,component_exit,ma200,2016-07-01,2016-07-06,,,,,,,NDX-below-MA200,,2016-07-05,,,,,,,,,,,,-0.6597606234304276,0.0825077659694232,-0.054435375113838474,,
20_sessions,component_exit,ma200,2016-07-08,2018-10-12,,,,,,,NDX-below-MA200,,2018-10-11,,,,,,,,,,,,59.22749398182094,0.08130052715103199,4.815226482556617,,
20_sessions,component_exit,ma200,2018-10-16,2018-10-25,,,,,,,NDX-below-MA200,,2018-10-24,,,,,,,,,,,,-3.6221210983720886,0.0866990260537323,-0.31403437147753516,,
20_sessions,component_exit,ma200,2018-11-02,2018-11-06,,,,,,,NDX-below-MA200,,2018-11-05,,,,,,,,,,,,-1.583925441465539,0.08381648018025956,-0.13275905537160523,,
20_sessions,component_exit,ma200,2018-11-08,2018-11-12,,,,,,,NDX-below-MA200,,2018-11-09,,,,,,,,,,,,-2.7074049558009405,0.08118713612843416,-0.21980645470140822,,
20_sessions,component_exit,ma200,2019-02-19,2019-02-22,,,,,,,NDX-below-MA200,,2019-02-21,,,,,,,,,,,,0.18858446401210927,0.08068920842403593,0.015216731122208187,,
20_sessions,component_exit,ma200,2019-02-26,2019-03-08,,,,,,,NDX-below-MA200,,2019-03-07,,,,,,,,,,,,-2.345605738385359,0.08019954517033412,-0.18811651336743151,,
20_sessions,component_exit,ma200,2019-03-12,2019-06-03,,,,,,,NDX-below-MA200,,2019-05-31,,,,,,,,,,,,-1.0390760429495938,0.07797528971233293,-0.08102225548213907,,
20_sessions,component_exit,ma200,2019-06-05,2020-03-10,,,,,,,NDX-below-MA200,,2020-03-09,,,,,,,,,,,,13.459562901163746,0.07720049181604796,1.0390848755988746,,
20_sessions,component_exit,ma200,2020-04-09,2022-01-21,,,,,,,NDX-below-MA200,,2022-01-20,,,,,,,,,,,,77.58494168590973,0.06339505690661558,4.918501793274698,,
20_sessions,component_exit,ma200,2022-02-03,2022-02-07,,,,,,,NDX-below-MA200,,2022-02-04,,,,,,,,,,,,0.042537013503873844,0.05189634145884765,0.0022075153774366507,,
20_sessions,component_exit,ma200,2022-02-10,2022-02-14,,,,,,,NDX-below-MA200,,2022-02-11,,,,,,,,,,,,-3.74454130275228,0.051917270530891506,-0.19440636382908705,,
20_sessions,component_exit,ma200,2022-03-30,2022-04-01,,,,,,,NDX-below-MA200,,2022-03-31,,,,,,,,,,,,-2.02172225085796,0.05007054722280581,-0.10122873943298075,,
20_sessions,component_exit,ma200,2022-04-05,2022-04-07,,,,,,,NDX-below-MA200,,2022-04-06,,,,,,,,,,,,-4.341439283587112,0.04910797120869168,-0.21319927534267896,,
20_sessions,component_exit,ma200,2023-01-27,2023-01-31,,,,,,,NDX-below-MA200,,2023-01-30,,,,,,,,,,,,-0.813570521727558,0.045126599050551976,-0.03671367073334789,,
20_sessions,component_exit,ma200,2023-02-02,2023-03-13,,,,,,,NDX-below-MA200,,2023-03-10,,,,,,,,,,,,-7.240739648957062,0.04356056957889019,-0.31541074328102303,,
20_sessions,component_exit,ma200,2023-03-15,2025-03-07,,,,,,,NDX-below-MA200,,2025-03-06,,,,,,,,,,,,65.46459873202184,0.04105463959078632,2.6876255068986037,,
20_sessions,component_exit,ma200,2025-05-13,2026-03-23,,,,,,,NDX-below-MA200,,2026-03-20,,,,,,,,,,,,15.964951202912637,0.03021805916923447,0.48242984008355505,,
20_sessions,21_session_cluster,,2002-07-24,2002-08-15,,,9.489637590810746,,,breadth,climax-top,,,,,,,,,,,,,,,,,1.0,1.0
20_sessions,21_session_cluster,,2002-10-10,2002-11-12,,,20.19740884192172,,,breadth,climax-top,,,,,,,,,,,,,,,,,2.0,1.0
20_sessions,21_session_cluster,,2003-01-10,2003-01-21,,,-0.8309995200841989,,,ma200,NDX-below-MA200,,,,,,,,,,,,,,,,,3.0,1.0
20_sessions,21_session_cluster,,2003-01-10,2003-03-18,,,1.0311191578214232,,,breadth,climax-top,,,,,,,,,,,,,,,,,4.0,1.0
